2026-05-08 20:11:59,976 | INFO     | web_app | 收到聊天请求
2026-05-08 20:11:59,976 | WARNING  | web_app | Agent Controller 未初始化，使用旧版实现
2026-05-08 20:12:00,018 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:13,055 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:13,055 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:13,056 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:13,059 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:13,914 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:13,914 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:13,917 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:13,917 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:13,918 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:14,025 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:15,063 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:15,063 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:15,066 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:15,927 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:15,927 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:15,934 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:16,952 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:16,952 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:16,952 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:17,295 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:17,296 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:17,296 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:17,300 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:17,303 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:18,642 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:18,642 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:18,647 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:18,648 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:19,944 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:19,944 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:19,951 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:19,952 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:20,923 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:20,923 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:20,928 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:20,929 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:21,933 | DEBUG    | web_app | 从查询中解析到英雄
2026-05-08 20:12:21,933 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:21,938 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:21,942 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:22,661 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:22,665 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:22,668 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:23,361 | INFO     | web_app | 开始执行 ReAct 循环
2026-05-08 20:12:23,364 | INFO     | web_app | ReAct 循环完成
2026-05-08 20:12:23,367 | INFO     | web_app | 收到聊天请求
2026-05-08 20:12:24,189 | DEBUG    | web_app | 从查询中解析到英雄
